_id,car_name,car_price,year,style,madein,kilometer,province,district,gearbox,fuel,descri
670b8e74321cad344000012f,Mazda 3 Sedan 1.5L Luxury 2019,470 triệu,2019,Sedan,Trong nước,60 km,Thanh Hóa,Đông Sơn,Số tự động,Máy xăng,"Xe đẹp giá đẹp‍. Auto #hào_ô_tô_đông_sơn. Địa chỉ: Đối diện nhà thi đấu huyện Đông Sơn- Thanh Hóa. Tìm kiếm google: Hào ô tô Đông Sơn. Với kinh nghiệm 15 năm kinh doanh xe, từng chiếc xe bán ra chúng tôi được cam kết bằng hợp đồng để đảm bảo về chất lượng xe khi đến tay."
670b8e74321cad3440000130,Mazda CX-5 2016,478 triệu,2016,SUV,Trong nước,62.000 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,Mazda CX5 model 2016. Máy 2.0. Xe nhà trùm mền không chạy còn rất mới. Toàn bộ còn zin theo xe. Xem thích ngay.
670b8e74321cad3440000131,Toyota Veloz Cross 1.5 CVT TOP 2024,625 triệu,2024,SUV,Trong nước,1.700 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Veloz Cross Top phiên bản cao nhất. Model 2024. Xe mới 99,99%. Sử dụng 1700 km. Xe mua về toàn trùm mền không chạy. Xem thích ngay."
670b8e74321cad3440000132,Ford Ranger Wildtrak 3.2 4x4 AT 2016,540 triệu,2016,Bán Tải,Nhập khẩu,10 km,Thanh Hóa,Đông Sơn,Số tự động,Máy dầu,Xe đẹp giá đẹp‍. Auto #hào_ô_tô_đông_sơn. Địa chỉ: Đối diện nhà thi đấu huyện Đông Sơn- Thanh Hóa. Tìm kiếm google: Hào ô tô Đông Sơn. Https://maps.app.goo.gl/SpV2ByHG1KZRrTBa6.
670b8e75321cad3440000133,VinFast Fadil Nâng Cao 2021,335 triệu,2021,Hatchback,Trong nước,33.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Fadil plus 2021 odo 3,3 vạn full lịch sử hãng, sơ cua chưa hạ, khám dài. Gía 335 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e75321cad3440000134,Peugeot 3008 Allure 2022,850 triệu,2022,SUV,Trong nước,29.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Peugoet 3008 AL sản xuất 2022 odo 2.9 vạn. Gía 850 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e76321cad3440000135,Mitsubishi Xpander AT Premium 2022,600 triệu,2022,MPV,Trong nước,40.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mitsubishi Xpander Premium sx 2022 odo 4 vạn đẹp full ls hãng. Gía 600 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666\."
670b8e76321cad3440000136,Mazda 3 2019,465 triệu,2019,Sedan,Trong nước,30.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mazda 3 facelift sx 2019 đi hơn 3v km, một chủ từ mới. Bán 465 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e76321cad3440000137,Hyundai Kona 2.0 AT Đặc biệt 2019,480 triệu,2019,SUV,Trong nước,74.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai kona 2019 bản đặc biệt odo 7v4 km. Bán 480 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e76321cad3440000138,Kia Morning EX 1.25 MT 2017,160 triệu,2017,Hatchback,Trong nước,130.000 km,Hưng Yên,Khoái Châu,Số sàn,Máy xăng,"Kia Morning EX 1.25 MT 2017 - bản base, hồ sơ cầm tay. Xe đẹp, chất, không lỗi. Full kịch đồ chơi. Nội ngoại thất rất mới., lốp đẹp. Đăng kiểm 2/2026. Alo để đc giá tốt 0976488024. Xem xe TT Khoái Châu - Hưng Yên."
670b8e77321cad3440000139,Toyota Raize 2021,479 triệu,2021,SUV,Nhập khẩu,29.000 km,Hà Nội,Sóc Sơn,Số tự động,Máy xăng,"Toyota Raize sx 2021 Đăng ký 2022. Tư nhân 1 chủ mua mới. Chuẩn odo 2v9. 4 Lốp theo xe. Sơ cua chưa hạ. Lên dán kính. Cam hành trình vietmap trước- sau. Phủ gầm. Cảm biến áp suất lốp. Đăng kiểm và đường bộ 7/2026. Cam kết keo chỉ zin. Cam kết Máy số zin. Cam kết không tai nạn. Cam kết không ngập nước. Bao check test. Netcar auto cam kết bằng văn bản 5 tiêu chí. Nếu sai xin hoàn tiền check và cọc. ️ Xe không ngập nước. ️ Xe không bổ máy. ️ Xe không tai nạn ảnh hưởng đến khung, gầm. ️ Keo chỉ còn zin theo xe. ️ Pháp lý rõ ràng, hồ sơ đẩy đủ sang tên. Xe bán ra luôn được bảo hành hỗ trợ, tư vấn. Netcar mang cả tâm huyết vào từng chiếc xe. Inox để nhận đc full video xe và hình ảnh. Hỗ trợ trả góp 70% giá trị xe."
670b8e78321cad344000013a,Hyundai Santa Fe 2.4L Xăng Đặc biệt 2018,699 triệu,2018,SUV,Trong nước,90.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Santafe bản full Xăng 2018, Hàng đẹp xe đi giữ gìn, chăm sóc xe kỹ. Thân vỏ form xe cực đẹp, Nội thất mới tinh từng chi tiết. Odo: 9 vạn km, động cơ hộp số zin từng con ốc, máy êm tình trạng vận hành rất tốt. Film cách nhiệt full kính, thảm 6D, Cam hành trình.. Option đầy đủ: Cửa nóc panorama, cốp điện, ghế điện, Cruisercontrol, Cân bằng điện tử, đèn Bi Led, túi khí quanh xe... Hệ thống an toàn đầy đủ. Giá cực êm 699 triệu, xe đẹp bao check. Hỗ trợ Bank nhanh gọn. Các bác nhu cầu gọi em Vương. 5 Trần vỹ, Cầu giấy, Hà nội."
670b8e78321cad344000013b,Mazda 3 2019,465 triệu,2019,Sedan,Trong nước,30.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mazda 3 2019 odo 3 vạn lốp theo xe. Gía chào bán 465 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e79321cad344000013c,VinFast LUX A2.0 Nâng cao 2022,585 triệu,2022,Sedan,Trong nước,80.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast LuxA plus 2021 chạy 8vạn full lịch sử hãng, 1 chủ từ mới, Gía 585 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e79321cad344000013d,Hyundai Palisade Exclusive 7 chỗ 2023,1 tỉ 330 triệu,2023,MPV,Trong nước,30.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Thông tin xe: Hyundai Palisade exclusive 23 dki 2/24 lăn bánh 3vạn km. Gía 1 tỷ 330 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7a321cad344000013e,VinFast LUX SA2.0 Cao cấp 2020,730 triệu,2020,SUV,Trong nước,90.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Lux SA preimum sx 2020 đki 2021 odo 9v km. Bán 730 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0936993293."
670b8e7a321cad344000013f,Kia Seltos 1.4 Premium 2021,595 triệu,2021,SUV,Trong nước,34.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Kia selltot sản xuất 2021 bản preimum một chủ odo 3v4 km full lịch sử hãng. Bán 595 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7a321cad3440000140,Kia K3 1.6 Luxury 2021,545 triệu,2021,Sedan,Trong nước,50.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Kia K3 2021 luxury odo 5 vạn km. Bán 545 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7a321cad3440000141,VinFast LUX SA2.0 2019,650 triệu,2019,SUV,Trong nước,62.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Lux SA sản xuất 2019 đki 2020 odo 6,2 vạn full hãng lên đèn bi đôi, cốp điện. Bán 650 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7b321cad3440000142,Hyundai Elantra 2022,535 triệu,2022,Sedan,Trong nước,29.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai Elantra 1.6 AT Tiêu Chuẩn sx2022 odo 2v9km, lên vành inforgeo chính hãng. Bán 535 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7b321cad3440000143,Hyundai Elantra 2019,485 triệu,2019,Sedan,Trong nước,65.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai elantra 2019 1.6AT odo 6v5 km. Gía 485 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7b321cad3440000144,VinFast LUX SA2.0 Tiêu chuẩn 2021,720 triệu,2021,SUV,Trong nước,50.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Vinfast Lux SA sx 2021 base odo 5v. Bán 720 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7b321cad3440000145,Kia Sonet 1.5 Premium 2022,555 triệu,2022,SUV,Trong nước,3.000.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Kia Sonet 2022 bản premium, màu đen, odo 3 vạn1 km. Gía 555 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7b321cad3440000146,Hyundai Creta 1.5L Tiêu chuẩn 2022,575 triệu,2022,SUV,Trong nước,40.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Hyundai creta sản xuất 2022 tiêu chuẩn odo 4 vạn xe lên cam 360. Bán 575 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7c321cad3440000147,MG 5 1.5L Luxury 2022,440 triệu,2022,Sedan,Trong nước,50.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Mg 5 bản luxury sx 2022 odo 5 vạn km. Bán 440 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7d321cad3440000148,Toyota Land Cruiser 2003,350 triệu,2003,SUV,Nhập khẩu,280.000 km,Hòa Bình,Lạc Sơn,Số sàn,Máy xăng,"Toyota Land Cruiser 2003. Bán Toyota Land Cruiser 2003 tại Hòa Bình. Xe đẹp ko lỗi, xe đã vào rất nhiều đồ. Thư Lý Auto cam kết: - Xe đẹp, giá tốt nhất thị trường. - Xe không đâm đụng. - Không ngập nước. - Hỗ trợ trả góp tối đa, lãi suất ưu đãi. - Hỗ trợ sang tên, check hãng. - Bảo hành máy móc, động cơ. Liên hệ hotline Mr. Thư 0969190577 (call/Zalo) để được hỗ trợ và nhận xe giá tốt nhất."
670b8e7d321cad3440000149,Mercedes-Benz E300 AMG 2019,1 tỉ 550 triệu,2019,Sedan,Trong nước,37.000 km,Hà Nội,Đống Đa,Số tự động,Máy xăng,"Do không còn nhu cầu sử dụng nên mình cần bán xe Mercedes E300 nội thất nâu ngoại thất trắng. Xe sx 2019 đăng ký lần đầu t7 2020. Chạy 36000km. Là chiếc xe đầu tiên, nên đi rất giữ gìn. 100% được bảo dưỡng trong Haxaco, xe bao không đâm đụng, ngập nước. Có duy nhất là mắt đèn bên phải quẹt cành cây, bị vỡ ốp ngoài. Đã thay đèn zin của hãng. Chăm sóc xe từ lúc mua ở Autocare kĩ càng. Nội ngoại thất thơm đét như mới. Bốn vỏ lốp mới thay runflat Pirelli chính hãng mới chạy 1000km. Lắp cam blackvue 11 triệu, thảm xe cao su, còn gói chăm sóc xe tại Autocare. Options lắp thêm nước hoa + làm sạch không khí ion âm. Bảo hiểm tự nguyện mới mua tháng 7. Túm lại, anh em mua về tặng hoặc đi thì chỉ đổ xăng đi."
670b8e7e321cad344000014a,Ford Escape XLS 2.3 AT 4x2 2011,262 triệu,2011,SUV,Trong nước,140.000 km,Hà Nội,Long Biên,Số tự động,Máy xăng,"Chính chủ nhờ bán. Ford Escape XLS At 2011 Hà Nội từ mới. Đi zin 14,6 vạn km. Đã lên nhiều đồ sịn: Ghế da napan sịn, màn hình androi, camera hành trình, gương gập điện, bậc bước chân, đèn sương mù bi-led... Cảm kết máy gầm số zin! Liên hệ ngay để xem xe."
670b8e7e321cad344000014b,BMW 320i 2016,650 triệu,2016,Sedan,Nhập khẩu,77.000 km,Tp.HCM,Quận 2,Số tự động,Máy xăng,"BMW 320i 2016. Bán BMW 320i 2016 tại TP. HCM. Xe đẹp, chủ đi giữ gìn. TPDcar cam kết: - Xe đẹp, giá tốt nhất thị trường. - Xe không đâm đụng. - Không ngập nước. - Hỗ trợ trả góp tối đa với lãi suất ưu đãi. - Bảo hành máy móc, động cơ. Liên hệ hotline Mr. Khoa 0938088802 (call/Zalo) để được hỗ trợ thông tin và nhận xe giá tốt nhất."
670b8e7f321cad344000014c,Peugeot 2008 2022,615 triệu,2022,SUV,Trong nước,50.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Peugoet 2008 AT sx 2022 odo 5 vạn km. Bán 615 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e7f321cad344000014d,Mitsubishi Outlander 2014,415 triệu,2014,Hatchback,Trong nước,120.000 km,Hải Phòng,Kiến An,Số tự động,Máy xăng,"Lên hình siêu phẩn Mitsubishi oulander sport sx 2014 nhập nhật nguyên con xe zin đẹp hết chạy đúng 12 vạn km bảo hành luôn cho anh em xe 1 chủ từ mới. Gía 415 triệu. Auto 8X- Mua là Thích. ✓ Hỗ trợ bank 50% - 70% giá trị xe. ✓ Địa chỉ: 574 Trường Chinh, Kiến An, Hải Phòng. Văn bản cam kết. - Xe không bị tai nạn. - Xe không bị ngập nước. - Xe không phạt nguội. - Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố. Hotline: 0789326666."
670b8e80321cad344000014e,Kia Sorento 2.5G Premium 2022,989 triệu,2022,SUV,Trong nước,46.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Sorento 7 chỗ bản Sig máy Xăng 2.5 2022, Cực đẹp Sơn zin cả xe! Thiết kế thể thao tinh tế, Tiện nghi sang trọng. Động cơ Smartstream, 4 chế độ lái, đèn full Led cực đẹp. Option miên man: Rada, SmartSensing hỗ trợ lái an toàn. 4 ghế điện, sưởi + làm mát ghế, cửa nóc. Giàn lốp Mit, Màn androi cỡ lớn & Cam 360, bệ chân, film cách nhiệt full kính, thảm Kata. Xe đi 4,6 vạn cực giữ gìn, nội thất rất mới. Giá êm: 989 triệu, xe đẹp bao check toàn quốc. Hỗ trợ trả góp, thủ tục nhanh gọn, lãi suất ưu đãi. Các bác nhu cầu gọi em Vương. 5 Trần vỹ, Cầu giấy, Hà nội."
670b8e80321cad344000014f,Mercedes-Benz GLC 200 V1 2022,1 tỉ 538 triệu,2022,SUV,Trong nước,6.000 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,"#Mercedes_GLC200 bản (V1) Sx_2022 Odo: 6.666 Miles (siêu siêu lướt). Màu đen / nội thất kem. GLC200 (V1), được trang bị thêm đèn viền Led nội thất 64 màu, nẹp bậc chân Mercedes phát sáng. Chiếc xe đa dụng cực kỳ linh hoạt, gầm cao. Xe trang bị động cơ 2.0L 197Hp cùng hộp số tự động 9 cấp với 5 chế độ lái. Đèn Full LED, mâm 18 inch, ghế da Artico cao cấp, gỗ nâu ốp, màn hình 10.25 inch cảm ứng, Apple Carplay và Android Auto,... Bảo hành chính hãng không giới hạn km, Bao test hãng Toàn Quốc. Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp. CAM KẾT: Xe không đâm đụng, không ngập nước, km chuẩn. Ngân hàng hỗ trợ 70% _90%. Giá tham khảo: 1. Tỷ 538 VND. 0966876509 (HÀ TẤN PHÁT). - ----------------------------------. Salon Good Car - Always like new. 290 Nguyễn Văn Linh, Bình Thuận, Quận 7, TPHCM."
670b8e80321cad3440000150,Mercedes-Benz GLC 200 V1 2022,1 tỉ 758 triệu,2022,SUV,Trong nước,22.345 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,"#Mercedes_GLC200 4MATIC bản (V1) Sx 2022 Odo: 22.345 Cay (chất xe chuẩn mới). Màu trắng / nội thất kem. GLC200 4MATIC (V1) Được bổ sung thêm tính năng đá cốp, keyless go, mâm 19 inch thiết kế mới. Động cơ 2.0L 197Hp cùng Hộp số 9 cấp với 5 chế độ lái đa dụng, 13 loa Burmester, Cam 360, đèn viền nội thất 64 màu, đồng hồ điện tử, ốp gỗ nội thất, sạc ko dây... Vvv. Bảo hành chính hãng không giới hạn km, Bao test hãng Toàn Quốc. Tặng ngay gói chăm sóc xe và phủ Ceramic cao cấp. CAM KẾT: Xe không đâm đụng, không ngập nước, km chuẩn. Ngân hàng hỗ trợ 70% _90%. Giá tham khảo: 1. Tỷ 758 VND. Hotline - Inbox Zalo (HÀ TẤN PHÁT). : 0966876509 - 0983471110. - ----------------------------------. Salon Good Car - Always like new. 290 Nguyễn Văn Linh, Bình Thuận, Quận 7, TPHCM."
